	0	0.85	0.15
d74a2473-1f29-40fa-a41e-66fa2281dfca	61	0.69	0.31
2b1cb8a2-9eba-4fce-85cf-5d997ec45714	61	0.89	0.11
1068f44b-34a0-42d8-a92e-2be748681a6f	61	0.75	0.25
a1ed3396-114a-40bc-9ff0-54d7e1ad1718	61	0.87	0.13
190a0f31-d686-4ac4-a7f3-cfc87b72c145	61	0.85	0.15
817dee99-9ccf-4f41-84e3-dc9773237bc8	61	0.84	0.16
ab9eb213-0917-4374-a259-458295045021	62	0.81	0.19
ecb8d2f5-4ff5-4890-9693-5654e00055f6	62	0.77	0.23
f0bcf4bb-74b3-412e-a54c-04c12ad28ecb	62	0.82	0.18
0eddd056-9d72-4804-bd60-53144b785d5c	63	0.97	0.03
493a83de-6bcf-41a1-97dd-cc5e150548a3	63	0.84	0.16
1f145436-b25d-49b9-a1e3-2d3c91626211	63	0.78	0.22
bd24e18b-800d-4f15-878d-e334fb4803c4	64	0.77	0.23
083d09d4-7ed3-4100-b021-8fbe30dd43e8	65	0.88	0.12
90768354-957e-4b4c-bb6d-eab6bbda0ba3	65	0.92	0.08
c17a4397-4dcc-440e-8c53-d897e971cae9	65	0.85	0.15
f3ddfd87-73a2-4681-96fe-829476c97886	65	0.82	0.18
4ecee7be-93e4-4f04-b114-6b333e0e6408	65	0.91	0.09
68f98a04-204f-4675-92a7-8823f2277075	66	0.91	0.09
53e701c7-e3c8-4e18-ba05-9b41b4b64cda	66	0.89	0.11
0eea4a48-c84b-4538-97e7-3303671934d2	66	0.82	0.18
1e8b09bd-fbdd-444e-bd7e-10326bd57156	66	0.77	0.23
84a2b5f6-4955-4007-9299-3d35ae7135d3	66	0.89	0.11
4f69e8c2-b2a1-4e98-996a-ccf35ac844c5	66	0.86	0.14
e4e4c17d-8128-4704-9e04-f244d4573c4d	67	0.84	0.16
4bf352d2-6a57-420a-9d45-b23b2b947375	67	0.90	0.10
bd8d58b6-f37f-48e6-9919-8e14ec91f92a	67	0.85	0.15
aa6c2662-75f8-4506-aa06-9a0993313216	67	0.88	0.12
503a235f-9fa6-41b5-8514-9475c944273f	67	0.85	0.15
