	0	0.93	0.07
aa6c2662-75f8-4506-aa06-9a0993313216	22	1.00	0.00
8e1fd784-99d5-41c1-a6c5-6b947cec6714	22	0.95	0.05
190a0f31-d686-4ac4-a7f3-cfc87b72c145	22	0.86	0.14
495a6bdc-174d-4ad6-8d51-9ee88b1c2e4a	23	0.78	0.22
503a235f-9fa6-41b5-8514-9475c944273f	23	1.00	0.00
80e474a3-7d2b-431d-8192-2f1e27162607	23	0.96	0.04
855775c1-266f-40f6-b07b-3a67ccdf8551	23	0.96	0.04
4e6ad1a1-7c71-49de-8bd5-c286712faf9e	24	0.88	0.13
766dfd1e-11c3-42b6-a167-9b2d568b5dc0	24	0.88	0.13
03097200-0d48-4236-a3d2-8bdb153aa8f7	25	0.96	0.04
7dcf6902-632f-48c5-936a-7cf88802b93a	26	0.88	0.12
1f159bab-923a-4811-b6fa-02bfde50925a	26	0.77	0.23
d4a10c2a-0c28-466a-9213-38ba3339b65e	26	0.96	0.04
82d1b7b4-ce00-4536-8631-a025f05150ce	27	0.93	0.07
7e9a514a-7850-4ed0-93ab-f3a6e2f41c03	28	1.00	0.00
e6114fd4-a11d-4f6c-b823-65691bb2d288	28	0.93	0.07
5ca7e854-dc00-4955-9235-d7fcd732ddcf	28	1.00	0.00
90c2cec7-0ed5-426a-9de8-754f34d59b39	28	0.96	0.04
4bf352d2-6a57-420a-9d45-b23b2b947375	28	0.89	0.11
f73009c5-2ede-4dc4-b96d-84ba93c8a429	28	0.96	0.04
2b5f5dd7-e31f-4829-bec5-546652103bc0	28	1.00	0.00
bd24e18b-800d-4f15-878d-e334fb4803c4	29	0.97	0.03
a5adc84c-80b8-49e4-9962-8b4ade99a922	29	1.00	0.00
1e8b09bd-fbdd-444e-bd7e-10326bd57156	29	1.00	0.00
020ed630-8bae-4441-95cc-0e4ecc27253b	29	0.76	0.24
ab9eb213-0917-4374-a259-458295045021	30	0.87	0.13
2b9f9c25-43ec-4f0b-9937-a5aa23be0d9e	30	0.60	0.40
69196296-f652-42ff-b2ca-0d9b50bd9b7b	30	1.00	0.00
f38c5d80-093f-46eb-99d6-942aa45cd921	30	0.83	0.17
23110c0f-2cf9-4d9c-ab2d-634f2f18867e	30	1.00	0.00
667cb445-c288-4e62-b603-27291c1e475d	31	0.97	0.03
cf8e152e-2d27-4dcc-ba2b-68127de4e6a4	31	0.90	0.10
80dff591-2393-448a-8d88-122bd424fa4c	31	0.97	0.03
4b6f0a4e-de18-44ad-b497-03b1f470c43c	31	0.84	0.16
75f9d874-5e69-438d-900d-a3fcb1d429b3	31	0.87	0.13
86d4e22b-f107-4bcf-9625-32d387fcb521	31	0.77	0.23
32810dca-825c-4dbc-8b65-0702794c424e	31	0.87	0.13
32c9bce6-6e52-40fa-9f64-3629b3d026a8	32	0.72	0.28
0eddd056-9d72-4804-bd60-53144b785d5c	32	0.97	0.03
d35ccee1-9559-49a1-aaa4-7809f7b5c46e	32	0.97	0.03
cd68d3a6-7fbc-445d-90f1-970c955e32f4	32	1.00	0.00
ef9f8b95-9e73-49cd-be54-60f84858a285	32	1.00	0.00
d89da2d2-674c-4b85-8959-a4bd406f760a	33	0.91	0.09
d8ee256f-e3d0-46cb-8c77-b1f88d8c9df9	33	0.85	0.15
425f3f84-bab0-4cf2-91c1-96e78cf5cd02	33	0.94	0.06
9ac2e7c5-5a34-4738-98d8-9f917bc6d119	33	0.97	0.03
c675fcdf-6117-49a6-ac32-99a89a3a88aa	33	0.91	0.09
f3ddfd87-73a2-4681-96fe-829476c97886	33	0.94	0.06
bd8778e5-02e8-4d1f-9c31-7b63942cc570	33	1.00	0.00
4ecee7be-93e4-4f04-b114-6b333e0e6408	33	0.94	0.06
1ba715f2-caa3-44c0-9118-b045ea702a34	34	0.76	0.24
5ff66eae-7111-4e3b-a9b8-a9579165b0a5	34	1.00	0.00
2e6d4fa9-f930-47bd-971a-dd54a3cf7db1	34	0.91	0.09
e111a46d-5ada-4311-ac4f-175cca3357da	34	1.00	0.00
ad8d15f4-e041-4a12-a10e-901e6285fdc5	35	1.00	0.00
63df8701-1871-4987-87d7-b55d4f1df2e9	35	1.00	0.00
1068f44b-34a0-42d8-a92e-2be748681a6f	35	0.97	0.03
63512571-2eca-4bc4-8ad9-a5308a22ae22	35	0.91	0.09
c22e3af5-9001-465f-b450-864d7db2b4a0	35	1.00	0.00
1f145436-b25d-49b9-a1e3-2d3c91626211	36	0.83	0.17
8a6fc67d-a7fe-443b-a084-744294cec647	36	0.97	0.03
ac69dba3-6225-4afd-ab4b-23fc78f730fb	36	0.83	0.17
89f74891-2e25-4b5a-bd99-c95ba3f36aa0	36	0.97	0.03
bbf9543f-f100-445a-a467-81d7aab12236	36	1.00	0.00
bfd9ff52-9bf6-4aaf-a859-d308d8f29616	37	0.89	0.11
083d09d4-7ed3-4100-b021-8fbe30dd43e8	37	0.97	0.03
e4034192-4dc6-4901-bb30-07fe3cf77b5e	37	0.95	0.05
5dbf11c0-994a-4482-bd1e-99379148ee45	37	0.78	0.22
446a3366-3fe3-41bb-bfdd-d8717f2152a9	37	0.78	0.22
17397256-c28c-4cad-85f2-a21768c66e67	38	0.95	0.05
8cf78b49-d0ca-4703-88e8-4bcad26c44b1	38	0.97	0.03
7932c7c7-babb-4245-b9f5-cdadb97c99fb	39	0.97	0.03
4204c2d1-ca48-4af7-b827-e99907f12d61	39	0.85	0.15
f8c20693-f439-4a29-a421-05ed92749f10	39	1.00	0.00
0eea4a48-c84b-4538-97e7-3303671934d2	39	0.95	0.05
f2468055-e880-40bf-8ac6-a0763d846eb2	39	0.77	0.23
f56657d3-3bdc-4840-a20c-91aca9cc360e	39	0.97	0.03
0f61d948-4f0c-4550-8410-ae1c7f9f5613	40	1.00	0.00
b4505c48-fc75-4f9e-8419-42b28dcc5273	40	1.00	0.00
126fb128-7c53-45b5-ac2b-5dbf9943d71b	40	0.80	0.20
f0bcf4bb-74b3-412e-a54c-04c12ad28ecb	40	0.95	0.05
25f3a67c-4ed5-45b6-94b1-ce468d3ead21	41	0.78	0.22
15ae64cd-f698-4b00-9d61-c9fffd037ae2	41	0.90	0.10
87e6ae4b-67de-4973-aa56-0fc9835a1e1e	42	1.00	0.00
7310c32f-8f32-40f2-b086-54555a2c0e86	42	1.00	0.00
678170e4-0688-436d-a02d-c0467f9af8c0	42	0.98	0.02
da0bbbe6-d13c-40cc-9594-8c476975d93d	42	1.00	0.00
33fbfe23-37bd-4e37-a481-a87eadb8192d	42	0.90	0.10
718dea1a-d9a8-4c2b-933a-f0667b5250e6	43	1.00	0.00
4f328502-d347-4d2c-8fad-6ae59431d781	43	0.77	0.23
3a96d76a-c508-45a0-94a0-8f64cd6beeb4	43	0.98	0.02
5b9727f7-6a20-47d2-93d9-779f0a85c4ee	43	0.93	0.07
44c92d97-bb39-469d-a13b-f2dd9ae644d1	43	0.86	0.14
fa477c92-39b6-4a52-b065-40af2f29840a	44	0.98	0.02
4f69e8c2-b2a1-4e98-996a-ccf35ac844c5	44	1.00	0.00
84a2b5f6-4955-4007-9299-3d35ae7135d3	44	1.00	0.00
90768354-957e-4b4c-bb6d-eab6bbda0ba3	45	1.00	0.00
c0177f76-67fc-4316-b650-894159dede45	45	0.87	0.13
d744f534-2352-472b-9e42-cd91fa540f1b	45	0.93	0.07
248ccf3d-d5f6-4b69-83d9-40230ca909cd	45	0.98	0.02
8604e861-d784-43f0-b0f8-0d43ea6f7814	45	1.00	0.00
e4e4c17d-8128-4704-9e04-f244d4573c4d	46	0.83	0.17
2b1cb8a2-9eba-4fce-85cf-5d997ec45714	46	0.93	0.07
ea44bd36-65b4-4f3b-ac71-78d87a540b48	46	0.96	0.04
43bf6a6d-cc03-4bcf-938d-620e185433e1	46	0.93	0.07
64f4cd75-0c1e-42cf-9ff0-e41c4756f22a	46	1.00	0.00
4b3e8e9b-6de1-4840-8751-b1fb45dc5605	46	0.89	0.11
